Date,Close,Open,High,Low,Vol.,Change %
2014-01-02,55.07,53.6,55.22,53.52,3.99M,3.50%
2014-01-03,54.64,55.07,55.07,53.91,2.86M,-0.78%
2014-01-06,55.69,54.64,56.04,54.64,6.84M,1.92%
2014-01-07,55.73,55.77,56.04,55.65,8.90M,0.07%
2014-01-08,56.27,55.85,56.62,55.81,8.49M,0.97%
2014-01-09,54.72,56.23,56.23,54.68,2.06M,-2.75%
2014-01-10,54.29,54.8,55.22,54.14,9.52M,-0.79%
2014-01-13,55.69,54.37,55.85,54.37,5.13M,2.58%
2014-01-14,55.46,55.81,56.08,55.07,9.52M,-0.41%
2014-01-15,55.77,55.61,55.85,55.57,7.37M,0.56%
2014-01-16,55.92,56.19,56.31,55.88,3.68M,0.27%
2014-01-17,56.04,56.12,56.35,55.77,4.93M,0.21%
2014-01-20,56.08,56.08,56.16,56.04,15.03M,0.07%
2014-01-21,57.32,56.12,57.47,56.12,4.25M,2.21%
2014-01-22,59.76,57.32,59.92,57.32,6.64M,4.26%
2014-01-23,62.05,59.92,62.28,59.92,12.67M,3.83%
2014-01-24,63.41,62.05,63.41,61.66,12.18M,2.19%
2014-01-27,62.24,61.04,62.32,60.19,5.92M,-1.85%
2014-01-28,62.05,62.21,62.36,62.05,3.76M,-0.31%
2014-01-29,62.21,61.97,62.4,61.97,2.13M,0.26%
2014-01-30,61.27,62.01,62.01,60.19,3.93M,-1.51%
2014-02-03,60.89,62.05,62.55,60.89,3.00M,-0.62%
2014-02-04,59.92,60.81,60.81,59.57,1.28M,-1.59%
2014-02-05,60.46,59.92,60.58,59.61,2.17M,0.90%
2014-02-06,61.51,60.46,61.74,60.46,2.70M,1.74%
2014-02-07,61.66,61.89,62.05,61.66,3.18M,0.24%
2014-02-10,61.27,61.66,61.89,61.2,1.04M,-0.63%
2014-02-11,61.97,61.27,62.21,61.27,7.09M,1.14%
2014-02-12,62.05,62.28,62.83,61.93,3.85M,0.13%
2014-02-13,62.05,62.05,62.05,61.04,1.43M,0.00%
2014-02-14,62.05,61.04,62.52,61.04,473.85K,0.00%
2014-02-17,62.79,62.01,62.83,62.01,4.24M,1.19%
2014-02-18,62.83,62.79,63.14,62.79,4.05M,0.06%
2014-02-19,63.45,62.83,63.52,62.52,14.83M,0.99%
2014-02-20,65.15,63.6,65.54,63.29,8.98M,2.68%
2014-02-21,64.65,65.31,65.39,64.38,2.80M,-0.77%
2014-02-24,64.49,64.65,65.15,64.45,3.39M,-0.25%
2014-02-25,65.19,64.53,65.93,64.53,7.56M,1.09%
2014-02-26,64.76,65.19,65.93,64.38,3.47M,-0.66%
2014-02-27,64.73,64.69,64.76,64.42,3.24M,-0.05%
2014-02-28,65.15,65.04,65.15,64.42,4.29M,0.65%
2014-03-03,64.65,65.15,65.15,64.26,3.44M,-0.77%
2014-03-04,65.11,64.65,65.62,64.65,8.41M,0.71%
2014-03-05,65.42,65.23,65.93,65.15,7.31M,0.48%
2014-03-06,65.54,65.46,65.62,65.07,3.59M,0.18%
2014-03-07,65.35,65.62,66.12,65.11,5.06M,-0.29%
2014-03-10,65.58,65.39,65.66,65.35,2.34M,0.35%
2014-03-11,65.73,65.5,65.89,65.46,3.22M,0.23%
2014-03-12,65.7,65.73,66.08,65.7,3.29M,-0.05%
2014-03-13,65.89,65.46,65.89,65.46,1.08M,0.29%
2014-03-14,64.84,65.54,65.54,64.38,2.37M,-1.59%
2014-03-17,65.0,64.84,65.07,64.65,2.64M,0.25%
2014-03-18,65.93,64.73,65.97,64.73,2.62M,1.43%
2014-03-19,65.7,65.85,65.93,65.19,5.38M,-0.35%
2014-03-20,65.23,64.76,65.39,64.76,2.72M,-0.72%
2014-03-21,63.6,64.84,65.23,63.6,3.09M,-2.50%
2014-03-24,64.45,63.83,64.53,63.83,10.78M,1.34%
2014-03-25,64.45,64.42,64.57,64.3,7.72M,0.00%
2014-03-26,64.14,64.38,64.38,63.8,4.72M,-0.48%
2014-03-27,64.3,64.14,64.38,63.99,1.90M,0.25%
2014-03-28,65.11,64.3,65.15,64.3,11.79M,1.26%
2014-03-31,65.93,65.19,65.93,65.15,3.62M,1.26%
2014-04-01,66.7,65.85,66.7,65.54,4.25M,1.17%
2014-04-02,67.48,66.7,67.48,66.51,4.40M,1.17%
2014-04-03,67.09,67.48,67.48,66.32,5.77M,-0.58%
2014-04-04,66.51,67.09,67.09,66.39,1.38M,-0.86%
2014-04-07,67.48,66.51,67.75,66.51,3.81M,1.46%
2014-04-08,66.55,67.48,67.48,65.62,946.52K,-1.38%
2014-04-10,67.98,66.7,68.26,66.7,2.78M,2.15%
2014-04-11,67.48,67.48,67.52,67.09,1.67M,-0.74%
2014-04-14,68.26,67.48,68.26,67.32,2.45M,1.16%
