Date,Close,Open,High,Low,Volume,Change
2014-01-02,256.0,254.0,257.6,253.0,118.16K,1.99%
2014-01-03,254.2,256.0,256.0,253.0,53.37K,-0.70%
2014-01-06,260.0,255.0,265.0,255.0,188.67K,2.28%
2014-01-07,257.0,263.6,263.6,257.0,148.24K,-1.15%
2014-01-08,263.0,257.0,264.0,257.0,262.24K,2.33%
2014-01-09,254.6,260.0,260.2,249.6,495.15K,-3.19%
2014-01-10,250.2,254.4,254.8,249.8,482.99K,-1.73%
2014-01-13,251.8,250.2,254.0,250.2,113.39K,0.64%
2014-01-14,250.2,252.0,253.0,250.0,255.71K,-0.64%
2014-01-15,249.0,250.0,250.0,247.0,296.35K,-0.48%
2014-01-16,250.8,249.6,250.8,246.0,288.98K,0.72%
2014-01-17,252.6,252.0,253.0,251.0,57.09K,0.72%
2014-01-20,251.8,252.6,254.0,251.0,38.18K,-0.32%
2014-01-21,253.0,251.8,253.0,249.4,150.24K,0.48%
2014-01-22,253.0,253.0,254.8,252.0,430.69K,0.00%
2014-01-23,256.4,253.0,259.4,251.0,295.04K,1.34%
2014-01-24,254.05,250.14,254.05,249.16,140.60K,-0.92%
2014-01-27,250.14,250.92,250.92,249.16,264.04K,-1.54%
2014-01-28,246.23,250.14,250.14,246.23,212.29K,-1.56%
2014-01-29,250.34,244.67,256.01,244.67,242.03K,1.67%
2014-01-30,252.88,250.14,253.07,250.14,565.81K,1.01%
2014-02-03,245.26,252.1,252.1,245.26,238.67K,-3.01%
2014-02-04,242.52,244.28,245.26,242.32,227.08K,-1.12%
2014-02-05,242.32,243.3,245.26,242.32,123.62K,-0.08%
2014-02-06,241.35,242.52,244.48,241.35,216.25K,-0.40%
2014-02-07,243.3,242.52,245.26,241.54,148.19K,0.81%
2014-02-10,245.26,243.69,247.21,243.69,160.27K,0.80%
2014-02-11,249.16,245.26,249.16,245.26,114.65K,1.59%
2014-02-12,250.14,249.16,251.12,247.21,82.56K,0.39%
2014-02-13,249.56,249.95,249.95,245.26,107.44K,-0.23%
2014-02-14,249.16,249.36,251.71,245.26,151.44K,-0.16%
2014-02-17,250.14,249.16,251.12,248.97,192.82K,0.39%
2014-02-18,256.98,249.16,257.96,249.16,511.75K,2.73%
2014-02-19,268.51,256.59,268.51,254.05,811.52K,4.49%
2014-02-20,267.73,267.73,269.68,262.65,239.23K,-0.29%
2014-02-21,266.75,267.73,269.68,263.82,189.98K,-0.36%
2014-02-24,275.55,266.75,280.82,266.36,725.63K,3.30%
2014-02-25,279.46,280.43,283.36,273.59,896.21K,1.42%
2014-02-26,281.41,275.55,282.19,272.62,408.76K,0.70%
2014-02-27,278.48,280.43,281.41,278.48,340.27K,-1.04%
2014-02-28,272.42,276.52,278.48,272.23,460.88K,-2.18%
2014-03-03,274.57,271.64,275.55,270.66,252.11K,0.79%
2014-03-04,275.55,271.64,276.52,271.25,470.77K,0.36%
2014-03-05,278.67,276.52,279.85,275.94,551.52K,1.13%
2014-03-06,277.11,278.67,280.43,275.16,322.29K,-0.56%
2014-03-07,272.62,276.72,276.92,272.62,223.95K,-1.62%
2014-03-10,272.62,273.2,274.77,272.62,265.65K,0.00%
2014-03-11,276.52,271.64,278.48,270.66,288.45K,1.43%
2014-03-12,275.16,276.52,276.52,273.59,406.13K,-0.49%
2014-03-13,276.92,273.59,276.92,273.59,314.27K,0.64%
2014-03-14,283.36,276.13,283.36,274.57,1.30M,2.33%
2014-03-17,279.46,278.28,282.97,275.55,1.10M,-1.38%
2014-03-18,281.41,278.67,282.0,277.7,824.75K,0.70%
2014-03-19,282.97,281.21,284.34,281.21,736.00K,0.56%
2014-03-20,277.5,281.41,281.41,277.5,346.30K,-1.93%
2014-03-21,272.62,277.11,279.85,272.62,661.37K,-1.76%
2014-03-24,272.62,273.59,275.55,272.42,179.27K,0.00%
2014-03-25,270.47,272.62,272.62,270.08,236.13K,-0.79%
2014-03-26,269.29,270.47,273.59,268.71,374.26K,-0.43%
2014-03-27,267.54,269.29,269.29,266.75,411.14K,-0.65%
2014-03-28,271.64,266.75,273.2,266.75,407.52K,1.53%
2014-03-31,277.5,271.64,278.48,271.64,910.74K,2.16%
2014-04-01,281.21,277.31,282.19,273.59,219.17K,1.34%
2014-04-02,284.54,281.21,285.71,280.82,506.35K,1.18%
2014-04-03,284.34,284.34,287.08,283.36,427.89K,-0.07%
2014-04-04,285.71,284.34,286.49,283.36,273.43K,0.48%
2014-04-07,282.39,285.71,285.71,280.04,205.86K,-1.16%
2014-04-08,278.67,282.39,283.36,278.48,255.69K,-1.31%
2014-04-10,277.5,273.79,277.5,273.79,195.43K,-0.42%
2014-04-11,277.5,275.55,278.28,275.55,437.30K,0.00%
2014-04-14,276.33,277.31,277.31,275.55,112.76K,-0.42%
2014-04-15,274.96,273.98,275.94,273.01,192.81K,-0.50%
2014-04-16,275.55,274.96,276.52,274.77,183.41K,0.21%
2014-04-21,277.31,275.55,277.7,275.55,494.64K,0.64%
2014-04-22,277.31,277.31,279.07,276.52,377.94K,0.00%
